,headline,date,doc_type,web_url,news_desk,keywords,byline
4952,Jacinda Ardern Sold a Drastic Lockdown With Straight Talk and Mom Jokes,2020-05-23,article,https://www.nytimes.com/2020/05/23/world/asia/jacinda-ardern-coronavirus-new-zealand.html,Foreign,"['Politics and Government', 'Legislatures and Parliaments', 'Social Media', 'Coronavirus (2019-nCoV)', 'Quarantines']",By Damien Cave
4953,Boris Johnson Backs Top Aide Accused of Flouting Lockdown Rules,2020-05-24,article,https://www.nytimes.com/2020/05/24/world/europe/uk-cummings-coronavirus.html,Foreign,"['Coronavirus (2019-nCoV)', 'Politics and Government']",By Mark Landler and Stephen Castle
4956,Jacinda Ardern Sold a Drastic Lockdown With Straight Talk and Mom Jokes,2020-05-23,article,https://www.nytimes.com/2020/05/23/world/asia/jacinda-ardern-coronavirus-new-zealand.html,Foreign,"['Politics and Government', 'Legislatures and Parliaments', 'Social Media', 'Coronavirus (2019-nCoV)', 'Quarantines']",By Damien Cave
4967,Boris Johnson Backs Top Aide Accused of Flouting Lockdown Rules,2020-05-24,article,https://www.nytimes.com/2020/05/24/world/europe/uk-cummings-coronavirus.html,Foreign,"['Coronavirus (2019-nCoV)', 'Politics and Government']",By Mark Landler and Stephen Castle
4975,Burundi’s Ruling Party Candidate Wins Presidency,2020-05-25,article,https://www.nytimes.com/2020/05/25/world/africa/burundi-election.html,Foreign,"['Elections', 'Politics and Government']",By Reuters
4986,Virus Lockdown Forces Iran Into Its First Virtual Quds Day,2020-05-23,article,https://www.nytimes.com/2020/05/22/world/middleeast/virus-virtual-quds-day.html,Foreign,"['Defense and Military Forces', 'Palestinians', 'Coronavirus (2019-nCoV)', 'ANTI-SEMITISM']",By Farnaz Fassihi
4991,Pakistan Plane Crash Leaves Grim Task: Identifying Victims From DNA,2020-05-23,article,https://www.nytimes.com/2020/05/23/world/asia/pakistan-plane-crash.html,Foreign,"['Aviation Accidents, Safety and Disasters', 'AIRPORTS', 'Rescues', 'Deaths (Fatalities)']",By Zia ur-Rehman and Salman Masood
4995,Afghan Sides Agree to Rare Cease-Fire During Eid al-Fitr,2020-05-24,article,https://www.nytimes.com/2020/05/24/world/asia/afghanistan-taliban-cease-fire-eid.html,Foreign,"['Afghanistan War (2001- )', 'Terrorism', 'Ramadan']",By Mujib Mashal
4997,Push to Reopen Houses of Worship in Europe and Mideast Brings Perils and Tensions,2020-05-24,article,https://www.nytimes.com/2020/05/24/world/europe/germany-france-church-mosque-coronavirus.html,Foreign,"['Religion and Belief', 'Coronavirus Reopenings', 'Palestinians', 'Coronavirus (2019-nCoV)', 'Mosques', 'Muslims and Islam']","By Christopher F. Schuetze, Constant Méheut and Adam Rasgon"
5000,"Trump Bans Travel From Brazil, Citing Pandemic",2020-05-24,article,https://www.nytimes.com/2020/05/24/world/coronavirus-news-update.html,Foreign,['Coronavirus (2019-nCoV)'],
5002,"Netanyahu Corruption Trial Begins, Taking Israel Into Uncharted Territory",2020-05-24,article,https://www.nytimes.com/2020/05/24/world/middleeast/israel-benjamin-netanyahu-corruption-trial.html,Foreign,"['Corruption (Institutional)', 'Politics and Government', 'Bribery and Kickbacks']",By David M. Halbfinger
5005,Oil-Starved Venezuela Celebrates Arrival of Tankers From Iran,2020-05-25,article,https://www.nytimes.com/2020/05/25/world/americas/Iranian-oil-tankers-venezuela.html,Foreign,"['Embargoes and Sanctions', 'Oil (Petroleum) and Gasoline', 'Ships and Shipping', 'Shortages']",By Julie Turkewitz
5006,"For Some Italians, the Future of Work Looks Like the Past",2020-05-24,article,https://www.nytimes.com/2020/05/24/world/europe/italy-farms-coronavirus.html,Foreign,"['Agriculture and Farming', 'Migrant Labor (Agriculture)', 'Labor and Jobs', 'Unemployment', 'Politics and Government', 'Foreign Workers', 'Fruit', 'Vegetables', 'Coronavirus (2019-nCoV)', 'Epidemics']",By Jason Horowitz
5012,"Rattled by a Pandemic, People Turn to Leaders — Any Leaders",2020-05-23,article,https://www.nytimes.com/2020/05/23/world/asia/virus-leaders-popularity.html,Foreign,"['Politics and Government', 'Coronavirus (2019-nCoV)', 'Anxiety and Stress', 'Polls and Public Opinion', 'Psychology and Psychologists', 'United States Politics and Government', 'Disasters and Emergencies']",By Max Fisher
5013,Hong Kong Police Fire Tear Gas as Protesters Resist China’s Grip,2020-05-24,article,https://www.nytimes.com/2020/05/24/world/asia/hong-kong-protest-coronavirus-china.html,Foreign,"['Hong Kong Protests (2019)', 'Demonstrations, Protests and Riots', 'Coronavirus (2019-nCoV)', 'Police Brutality, Misconduct and Shootings', 'Freedom of Assembly', 'Civil Rights and Liberties', 'Law and Legislation']","By Vivian Wang, Austin Ramzy and Tiffany May"
5015,"For Some Italians, the Future of Work Looks Like the Past",2020-05-24,article,https://www.nytimes.com/2020/05/24/world/europe/italy-farms-coronavirus.html,Foreign,"['Agriculture and Farming', 'Migrant Labor (Agriculture)', 'Labor and Jobs', 'Unemployment', 'Politics and Government', 'Foreign Workers', 'Fruit', 'Vegetables', 'Coronavirus (2019-nCoV)', 'Epidemics']",By Jason Horowitz
5017,"Netanyahu Corruption Trial Begins, Taking Israel Into Uncharted Territory",2020-05-24,article,https://www.nytimes.com/2020/05/24/world/middleeast/israel-benjamin-netanyahu-corruption-trial.html,Foreign,"['Corruption (Institutional)', 'Politics and Government', 'Bribery and Kickbacks']",By David M. Halbfinger
5022,Hong Kong Police Fire Tear Gas as Protesters Resist China’s Grip,2020-05-24,article,https://www.nytimes.com/2020/05/24/world/asia/hong-kong-protest-coronavirus-china.html,Foreign,"['Hong Kong Protests (2019)', 'Demonstrations, Protests and Riots', 'Coronavirus (2019-nCoV)', 'Police Brutality, Misconduct and Shootings', 'Freedom of Assembly', 'Civil Rights and Liberties', 'Law and Legislation']","By Vivian Wang, Austin Ramzy and Tiffany May"
5046,Coronavirus Threatens China’s Devotion to Chopsticks and Sharing Food,2020-05-25,article,https://www.nytimes.com/2020/05/25/world/asia/china-coronavirus-chopsticks.html,Foreign,"['Chopsticks', 'Chinese Food (Cuisine)', 'Restaurants', 'SARS (Severe Acute Respiratory Syndrome)', 'Hygiene and Cleanliness', 'Food', 'Coronavirus (2019-nCoV)']",By Amy Qin
5075,Here’s How Wuhan Tested 6.5 Million for Coronavirus in Days,2020-05-26,article,https://www.nytimes.com/2020/05/26/world/asia/coronavirus-wuhan-tests.html,Foreign,"['Coronavirus (2019-nCoV)', 'Tests (Medical)', 'Coronavirus Reopenings']",By Sui-Lee Wee and Vivian Wang
5088,"A Boy, a Bear and a Close Call in the Mountains of Italy",2020-05-26,article,https://www.nytimes.com/2020/05/26/world/europe/italy-bear-boy-video.html,Foreign,"['Bears', 'Hikes and Hiking', 'Video Recordings, Downloads and Streaming', 'Children and Childhood']",By Elisabetta Povoledo
5117,France Bans Malaria Drug for Coronavirus Treatments,2020-05-27,article,https://www.nytimes.com/2020/05/27/world/coronavirus-world-global.html,Foreign,['Coronavirus (2019-nCoV)'],
5122,France Bans Malaria Drug for Coronavirus Treatments,2020-05-27,article,https://www.nytimes.com/2020/05/27/world/coronavirus-world-global.html,Foreign,['Coronavirus (2019-nCoV)'],
